mt_id,project_asv_id,project_sample_id,image_id,class,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,db_id,institution_code,ncbi_species,ncbi_id_rank,ncbi_taxid,locality,subregion,country,latitude,longitude,authors,genbank_accession,contigname,run_id,mmg_library_id,projectname,chimera_notes,variant_status,metadata_source,specimen_id,morphospecies,lowest_taxon,taxonomy_notes,collection_method,collection_method_category,collection_method_notes,plotid,province_state_territory,habitat
GBDL01891,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Melanotinae,Melanotini,,Melanotus,,Melanotus villosus,NA,NA,BMNH,NA,NA,NA,,NA,United Kingdom,NA,NA,Linard B. and Arribas P. and Andujar C. and Crampton-Platt A. and Vogler A.P.,KT876904,KT876904,NA,,,,unconsidered species duplicate,,1425245,,Melanotus villosus,,,,,,,
GBDL02064,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Pyrophorini,,Ignelater,,Ignelater luminosus,NA,NA,,NA,NA,NA,Mayaguez,NA,Puerto Rico,18.22005483,-67.10880183,Fallon T.R. and Lower S.E. and Chang C.H. and Bessho-Uehara M. and Martin G.J. and Bewick A.J. and Behringer M. and Debat H.J. and Wong I. and Day J.C. and Suvorov A. and Silva C.J. and Stanger-Hall K.F. and Hall D.W. and Schmitz R.J. and Nelson D.R. and Lewis S.M. and Shigenobu S. and Bybee S.M. and Larracuente A.M. and Oba Y. and Weng J.K. and SanderLower S.E. and Weng J.-K.,MG242621,MG242621,NA,,,,unconsidered species duplicate,Elife 7 e36495 (2018),NA,,Ignelater luminosus,,,,,,,
GBDL02201,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Hemirhipini,,Cryptalaus,,Cryptalaus yamato,NA,NA,,NA,NA,NA,,NA,South Korea,NA,NA,Lee S.-G. and Choi S. and Roh S.J. and Lee B.-W. and Lim J.,MK524933,MK524933,NA,,,,,,NA,,Cryptalaus yamato,,,,,,,
GBDL02274,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Elaterini,Elaterina,Ludioschema,,Ludioschema sulcicolle,NA,NA,,NA,NA,NA,Jianfengling National Nature Reserve,NA,China,18.733333,108.9,Wang Y. and Wang X. and Liu Y.,MK792747,MK792747,NA,,,,,Mitochondrial DNA B Resour 4 (2) pages 2324-2325 (2019),NA,,Ludioschema sulcicolle,,,,,,Hainan,
GBDL02275,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Melanotinae,Melanotini,,Melanotus,,Melanotus cribricollis,NA,NA,,NA,NA,NA,Shangluo,NA,China,33.865833,109.951389,Wang Y. and Liu Y.,MK792748,MK792748,NA,,,,,Mitochondrial DNA B Resour 4 (2) pages 3238-3239 (2019),NA,,Melanotus cribricollis,,,,,,Shaanxi,
GBDL02331,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Elaterini,Elaterina,Ludioschema,,Ludioschema vittiger,NA,NA,,NA,NA,NA,Jianfengling National Nature Reserve,NA,China,NA,NA,,MN306531,MN306531,NA,,,,,,NA,,Ludioschema vittiger,,,,,,Hainan,
GBDL02335,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Agrypnini,,Agrypnus,,Agrypnus sp. YD-2019,NA,NA,,NA,NA,NA,Ledong,NA,China,18.766667,108.883333,Du Y. and Liu X. and Long Y. and Cheng S. and Zhong B. and Song X.,MN370897,MN370897,NA,,,,,Mitochondrial DNA B Resour 4 (2) pages 3354-3355 (2019),NA,,Agrypnus sp. YD-2019,,,,,,Hainan,
GBDL02457,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Hemirhipini,,Cryptalaus,,Cryptalaus larvatus,NA,NA,,NA,NA,NA,Fujian Province,NA,China,NA,NA,Li Y.,MT118665,MT118665,NA,,,,,,NA,,Cryptalaus larvatus,,,,,,Minhou,
GBDL02780,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Semiotinae,,,Campsosternus,,Campsosternus auratus,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Hou Q. and Zhang X.,MZ727583,MZ727583,NA,,,,,,NA,,Campsosternus auratus,,,,,,,
GBDL02847,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Oxynopterinae,,,Pectocera,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,He J. and Yao Y.,OL804015,OL804015,NA,,,,,,NA,,Pectocera,,,,,,,
